"Division";"Classe";"Ordre";"SPECIES_NumSysCPerm";"SPECIES_CPerm";"SPECIES_AphiaID";"SPECIES_NAME";"SELECT_ATL";"SELECT_MAN";"SELECT_MED";"RASTERname_ATL";"RASTERname_MAN";"RASTERname_MED";"Groupe"
"Echinodermata";"Asteroidea";"Valvatida";"208200700.11955";11955;439563;"Tethyaster subinermis";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"190600000.1050";1050;106875;"Atelecyclus rotundatus";0;0;0;NA;NA;NA;"Arthropoda"
"Echinodermata";"Asteroidea";"Forcipulatida";"204535100.1146";1146;123081;"Marthasterias glacialis";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"178700000.962";962;107062;"Scyllarus arctus";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"164400000.858";858;106825;"Solenocera membranacea";0;0;0;NA;NA;NA;"Arthropoda"
"Cnidaria";"Anthozoa";"Actiniaria";"28831000.4623";4623;117258;"Actinauge";0;0;0;NA;NA;NA;"Cnidaria"
"Echinodermata";"Crinoidea";"Comatulida";"204112000.7390";7390;158584;"Antedon petasus";0;0;0;NA;NA;NA;"Echinodermata"
"Cnidaria";"Anthozoa";"Actiniaria";"28834100.4378";4378;282196;"Calliactis parasitica";0;0;0;NA;NA;NA;"Cnidaria"
"Echinodermata";"Echinoidea";"Camarodonta";"212735100.4235";4235;103272;"Gracilechinus acutus";0;0;0;NA;NA;NA;"Echinodermata"
"Echinodermata";"Asteroidea";"Spinulosida";"208750000.3577";3577;271073;"Henricia";0;0;0;NA;NA;NA;"Echinodermata"
"Arthropoda";"Malacostraca";"Decapoda";"198400000.1103";1103;107473;"Goneplax rhomboides";0;0;0;NA;NA;NA;"Arthropoda"
"Arthropoda";"Malacostraca";"Decapoda";"193852000.1077";1077;107390;"Polybius henslowii";0;0;0;NA;NA;NA;"Arthropoda"
